--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   rl-dgxa-c24-u34
  Local device: mlx5_0
--------------------------------------------------------------------------
[rl-dgxa-c24-u34:122835] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122835] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122833] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122833] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122832] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122832] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122834] mca_base_component_repository_open: unable to open mca_pml_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
[rl-dgxa-c24-u34:122834] mca_base_component_repository_open: unable to open mca_osc_ucx: libucp.so.0: cannot open shared object file: No such file or directory (ignored)
% MAGMA 2.5.4  compiled for CUDA capability >= 8.0, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 11000, driver 11000. OpenMP threads 8. MKL 2021.0.1, MKL threads 1. 
% device 0: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% device 1: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% device 2: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% device 3: A100-SXM4-40GB, 1410.0 MHz clock, 40537.2 MiB memory, capability 8.0
% Sun Mar 21 20:21:40 2021
world size (GPU number) is 4
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
Aurow 5000 Aucol 1250 Avrow 1250 Avcol 5000 nt 25 mt 25 nb 200

Aurows = m, Aucols = n/4/size, Avrows = m/4, Avcols = n/size,
nt = n/nb/size, mt = m/nb
nruns is 2000 
nruns is 2000 
nruns is 2000 
Times: 0.000256 BandWidth: 1563.97 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000259 BandWidth: 1545.25 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000257 BandWidth: 1558.16 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000257 BandWidth: 1558.16 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000256 BandWidth: 1563.97 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000256 BandWidth: 1563.97 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1563.97 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000261 BandWidth: 1532.55 
Times: 0.000257 BandWidth: 1558.16 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1563.97 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000256 BandWidth: 1563.97 
Times: 0.000254 BandWidth: 1574.24 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1563.97 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1563.97 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1563.97 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000256 BandWidth: 1563.97 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1563.97 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1563.97 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000254 BandWidth: 1574.24 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000256 BandWidth: 1563.97 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000256 BandWidth: 1563.97 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1563.97 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000258 BandWidth: 1550.96 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000257 BandWidth: 1556.72 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000256 BandWidth: 1562.51 
Times: 0.000253 BandWidth: 1580.17 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000252 BandWidth: 1589.15 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000253 BandWidth: 1580.17 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000254 BandWidth: 1574.24 
Times: 0.000254 BandWidth: 1574.24 
Times: 0.000254 BandWidth: 1574.24 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000254 BandWidth: 1574.24 
Times: 0.000254 BandWidth: 1574.24 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000251 BandWidth: 1593.68 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000253 BandWidth: 1580.17 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000253 BandWidth: 1580.17 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000251 BandWidth: 1593.68 
Times: 0.000254 BandWidth: 1574.24 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000255 BandWidth: 1568.36 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000253 BandWidth: 1580.17 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000254 BandWidth: 1574.24 
Times: 0.000255 BandWidth: 1569.82 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000252 BandWidth: 1587.65 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000254 BandWidth: 1575.72 
Times: 0.000253 BandWidth: 1580.17 
Times: 0.000253 BandWidth: 1581.66 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000233 BandWidth: 1717.65 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1733.62 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1733.62 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1733.62 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000233 BandWidth: 1715.89 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000232 BandWidth: 1722.94 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000233 BandWidth: 1715.89 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000232 BandWidth: 1722.94 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1733.62 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000232 BandWidth: 1722.94 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000231 BandWidth: 1733.62 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000228 BandWidth: 1753.54 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1733.62 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000231 BandWidth: 1733.62 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000232 BandWidth: 1722.94 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000232 BandWidth: 1722.94 
Times: 0.000233 BandWidth: 1717.65 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000231 BandWidth: 1733.62 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1733.62 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000229 BandWidth: 1746.24 
Times: 0.000228 BandWidth: 1753.54 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000230 BandWidth: 1740.81 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000232 BandWidth: 1722.94 
Times: 0.000229 BandWidth: 1748.06 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000231 BandWidth: 1731.83 
Times: 0.000232 BandWidth: 1724.71 
Times: 0.000230 BandWidth: 1739.01 
Times: 0.000228 BandWidth: 1755.38 
Times: 0.000230 BandWidth: 1739.01 
